FRA Point;FRA Point Latitude;FRA Point Longitude
ABADI;N404519;E0183830
ABAKO;N371102;E0163958
ABAKU;N514037;E0190453
ABDAB;N375321;E0103743
ABERO;N521340;E0231232
ABESI;N460935;E0090234
ABETI;N474040;E0170046
ABETI;N474040;E0170046
ABETI;N474040;E0170046
ABIDU;N405919;E0102214
ABIRI;N464545;E0145803
ABISO;N461545;E0142108
ABITU;N482000;E0181929
ABKON;N395220;E0104824
ABLAT;N452326;E0133734
ABLAT;N452326;E0133734
ABLOM;N480403;E0170516
ABLOM;N480403;E0170516
ABLOM;N480403;E0170516
ABMOG;N444252;E0105814
ABOLO;N470001;E0271959
ABONY;N471615;E0195845
ABREG;N461825;E0093305
ABRUK;N472259;E0150024
ABRUT;N442701;E0251059
ABRUT;N442701;E0251059
ABTAN;N470649;E0142944
ABTER;N461511;E0255030
ABTIM;N443730;E0103656
ABUKI;N373201;E0153333
ABULI;N482903;E0202912
ABULI;N482903;E0202912
ABULI;N482903;E0202912
ADADO;N501234;E0174453
ADAMA;N475916;E0172029
ADAMI;N384217;E0105656
ADAXA;N561752;E0185354
ADDER;N403126;E0201817
ADEXI;N372044;E0130131
ADIDU;N543149;E0233803
ADINA;N434812;E0303018
ADISO;N453333;E0071736
ADLET;N483403;E0141757
ADMAS;N373344;E0175129
ADMEC;N470751;E0263448
ADNAN;N440026;E0180651
ADOMO;N455816;E0143842
ADORU;N415218;E0263406
ADOSA;N453840;E0110135
ADOXO;N520611;E0193026
ADREN;N385018;E0174409
ADRUX;N404552;E0093556
ADUKA;N383344;E0115703
ADUKU;N465526;E0220000
ADULA;N451614;E0183831
ADUNO;N420339;E0252708
ADVAB;N520750;E0164338
ADVER;N432520;E0225912
ADVER;N432520;E0225912
ADVEX;N502054;E0175211
AFCAM;N415559;E0154651
AGALU;N512817;E0172308
AGASA;N554651;E0202611
AGAVA;N513453;E0195739
AGLIB;N450804;E0170912
AGMEL;N464126;E0213416
AGNAV;N493405;E0123652
AGNEP;N452700;E0225735
AGNIS;N394827;E0144503
AGODU;N535640;E0160659
AGOMO;N450101;E0124807
AGONA;N552400;E0203312
AIOSA;N415542;E0171454
AIOSA;N415542;E0171454
AIOSA;N415542;E0171454
AKADO;N452000;E0123000
AKAPI;N515512;E0162822
AKASU;N460635;E0082944
AKIKA;N423203;E0193614
AKIKA;N423203;E0193614
AKIMA;N482447;E0131837
AKLEF;N475538;E0252659
AKUMA;N551138;E0224511
AKUPO;N470004;E0242344
AKUPO;N470004;E0242344
ALAMU;N474413;E0181948
ALAMU;N474413;E0181948
ALAMU;N474413;E0181948
ALAXI;N414405;E0132052
ALBET;N452536;E0113033
ALEDI;N393637;E0095938
ALELU;N422845;E0195102
ALELU;N422845;E0195102
ALENO;N435809;E0295029
ALESE;N461630;E0112414
ALG;N403741;E0081438
ALIVI;N431114;E0263845
ALIVO;N453124;E0144421
ALIVO;N453124;E0144421
ALIVO;N453124;E0144421
ALIVO;N453124;E0144421
ALIXI;N392708;E0172634
ALJUB;N415436;E0161945
ALOKU;N371741;E0133354
ALOXU;N454653;E0242029
ALUDU;N370911;E0153447
ALUKA;N525357;E0141824
AMADI;N480529;E0125450
AMANO;N392518;E0134748
AMEDU;N494220;E0225025
AMGOK;N423918;E0135346
AMLAV;N440943;E0294558
AMLON;N442021;E0125235
AMRAX;N480529;E0192158
AMRAX;N480529;E0192158
AMRAX;N480529;E0192158
AMRAX;N480529;E0192158
AMRAX;N480529;E0192158
AMREX;N375816;E0175502
AMROR;N545324;E0150550
AMROR;N545324;E0150550
AMSOR;N410926;E0145209
AMTEL;N431313;E0113631
AMTOV;N431021;E0260907
AMUGO;N423239;E0173502
AMUTO;N522000;E0185645
ANAKI;N441204;E0084332
ANASA;N441843;E0223319
ANASA;N441843;E0223319
ANAVU;N471539;E0231921
ANAVU;N471539;E0231921
ANAVU;N471539;E0231921
ANC;N433511;E0132816
ANEDI;N430841;E0175131
ANEDO;N462148;E0294131
ANEXA;N475117;E0182910
AOSTA;N454747;E0072045
APNEZ;N531538;E0151700
APRAQ;N493854;E0140721
APRAQ;N493854;E0140721
APRIV;N444057;E0095235
APROB;N435824;E0250009
APSAM;N470535;E0232156
APSIK;N544000;E0164000
APSUX;N411110;E0103455
APTAN;N462315;E0262056
APVAR;N390209;E0155646
ARALD;N464101;E0131549
ARBUM;N391643;E0154809
ARCAZ;N463320;E0212726
ARCAZ;N463320;E0212726
ARDAM;N444752;E0123021
ARDUT;N535129;E0211002
ARFOL;N364923;E0143940
ARFOX;N475828;E0183427
ARGES;N440456;E0264936
ARGIX;N505642;E0215820
